,0,1
1689240974742,"{'rnti': '006e', 'dlBytes': 94792053, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28121717, 'ulMcs': 6, 'ulBler': 0.0, 'ri': 1, 'pmi': '(0,0)', 'phr': 47, 'pcmax': 22, 'rsrq': -11.0, 'sinr': 12.0, 'rsrp': -114, 'rssi': 75.2, 'cqi': 15, 'pucchSnr': 21.0, 'puschSnr': 18.0}",
1689240975742,"{'rnti': '006e', 'dlBytes': 94794000, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28123207, 'ulMcs': 6, 'ulBler': 0.0, 'ri': 1, 'pmi': '(0,0)', 'phr': 47, 'pcmax': 22, 'rsrq': -11.0, 'sinr': 12.0, 'rsrp': -113, 'rssi': 68.0, 'cqi': 15, 'pucchSnr': 19.0, 'puschSnr': 10.5}",
1689240976742,"{'rnti': '006e', 'dlBytes': 94795947, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28124665, 'ulMcs': 6, 'ulBler': 0.06561, 'ri': 1, 'pmi': '(0,0)', 'phr': 47, 'pcmax': 22, 'rsrq': -11.0, 'sinr': 11.5, 'rsrp': -113, 'rssi': 75.4, 'cqi': 15, 'pucchSnr': 20.0, 'puschSnr': 19.0}",
1689240977742,"{'rnti': '006e', 'dlBytes': 94797894, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28126006, 'ulMcs': 6, 'ulBler': 0.025419, 'ri': 1, 'pmi': '(0,0)', 'phr': 47, 'pcmax': 22, 'rsrq': -11.0, 'sinr': 11.5, 'rsrp': -114, 'rssi': 75.2, 'cqi': 15, 'pucchSnr': 23.0, 'puschSnr': 19.5}",
1689240978742,"{'rnti': '006e', 'dlBytes': 94799841, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28127480, 'ulMcs': 6, 'ulBler': 0.008863, 'ri': 1, 'pmi': '(0,0)', 'phr': 47, 'pcmax': 22, 'rsrq': -11.0, 'sinr': 12.0, 'rsrp': -113, 'rssi': 68.9, 'cqi': 15, 'pucchSnr': 19.0, 'puschSnr': 12.5}",
1689240979742,"{'rnti': '006e', 'dlBytes': 94801788, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28128954, 'ulMcs': 6, 'ulBler': 0.046137, 'ri': 1, 'pmi': '(0,0)', 'phr': 47, 'pcmax': 22, 'rsrq': -11.0, 'sinr': 12.0, 'rsrp': -113, 'rssi': 77.4, 'cqi': 15, 'pucchSnr': 23.0, 'puschSnr': 20.0}",
1689240980742,"{'rnti': '006e', 'dlBytes': 94803735, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28130428, 'ulMcs': 6, 'ulBler': 0.016087, 'ri': 1, 'pmi': '(0,0)', 'phr': 47, 'pcmax': 22, 'rsrq': -11.0, 'sinr': 9.5, 'rsrp': -115, 'rssi': 69.7, 'cqi': 15, 'pucchSnr': 23.0, 'puschSnr': 13.0}",
1689240981742,"{'rnti': '006e', 'dlBytes': 94805682, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28131902, 'ulMcs': 6, 'ulBler': 0.078509, 'ri': 1, 'pmi': '(0,0)', 'phr': 47, 'pcmax': 22, 'rsrq': -11.5, 'sinr': 8.0, 'rsrp': -117, 'rssi': 75.9, 'cqi': 15, 'pucchSnr': 21.0, 'puschSnr': 20.5}",
1689240982742,"{'rnti': '006e', 'dlBytes': 94807629, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28133227, 'ulMcs': 6, 'ulBler': 0.111416, 'ri': 1, 'pmi': '(0,0)', 'phr': 47, 'pcmax': 22, 'rsrq': -11.0, 'sinr': 9.5, 'rsrp': -115, 'rssi': 75.8, 'cqi': 15, 'pucchSnr': 19.0, 'puschSnr': 19.0}",
1689240983742,"{'rnti': '006e', 'dlBytes': 94809576, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28134717, 'ulMcs': 6, 'ulBler': 0.038848, 'ri': 1, 'pmi': '(0,0)', 'phr': 47, 'pcmax': 22, 'rsrq': -11.0, 'sinr': 9.5, 'rsrp': -115, 'rssi': 69.7, 'cqi': 15, 'pucchSnr': 24.0, 'puschSnr': 12.5}",
1689240984742,"{'rnti': '006e', 'dlBytes': 94811523, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28136175, 'ulMcs': 6, 'ulBler': 0.094546, 'ri': 1, 'pmi': '(0,0)', 'phr': 47, 'pcmax': 22, 'rsrq': -11.5, 'sinr': 8.5, 'rsrp': -116, 'rssi': 75.9, 'cqi': 15, 'pucchSnr': 19.0, 'puschSnr': 20.0}",
1689240985742,"{'rnti': '006e', 'dlBytes': 94813470, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28137665, 'ulMcs': 6, 'ulBler': 0.032966, 'ri': 1, 'pmi': '(0,0)', 'phr': 49, 'pcmax': 22, 'rsrq': -11.5, 'sinr': 9.0, 'rsrp': -116, 'rssi': 68.0, 'cqi': 15, 'pucchSnr': 20.0, 'puschSnr': 10.5}",
1689240986742,"{'rnti': '006e', 'dlBytes': 94815417, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28139123, 'ulMcs': 6, 'ulBler': 0.092495, 'ri': 1, 'pmi': '(0,0)', 'phr': 47, 'pcmax': 22, 'rsrq': -11.5, 'sinr': 9.0, 'rsrp': -116, 'rssi': 76.1, 'cqi': 15, 'pucchSnr': 21.0, 'puschSnr': 19.0}",
1689240987742,"{'rnti': '006e', 'dlBytes': 94817364, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28140464, 'ulMcs': 6, 'ulBler': 0.035834, 'ri': 1, 'pmi': '(0,0)', 'phr': 47, 'pcmax': 22, 'rsrq': -11.5, 'sinr': 8.5, 'rsrp': -116, 'rssi': 75.9, 'cqi': 15, 'pucchSnr': 18.0, 'puschSnr': 19.5}",
1689240988742,"{'rnti': '006e', 'dlBytes': 94819311, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28141938, 'ulMcs': 6, 'ulBler': 0.012495, 'ri': 1, 'pmi': '(0,0)', 'phr': 49, 'pcmax': 22, 'rsrq': -11.5, 'sinr': 8.5, 'rsrp': -116, 'rssi': 69.7, 'cqi': 15, 'pucchSnr': 21.0, 'puschSnr': 12.5}",
1689240989742,"{'rnti': '006e', 'dlBytes': 94821258, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28143412, 'ulMcs': 6, 'ulBler': 0.004357, 'ri': 1, 'pmi': '(0,0)', 'phr': 49, 'pcmax': 22, 'rsrq': -11.5, 'sinr': 8.5, 'rsrp': -117, 'rssi': 74.5, 'cqi': 15, 'pucchSnr': 19.0, 'puschSnr': 18.0}","{'rnti': 'fb80', 'dlBytes': 2954, 'dlMcs': 9, 'dlBler': 0.053144, 'ulBytes': 3809, 'ulMcs': 0, 'ulBler': 0.07243, 'ri': 1, 'pmi': '(0,0)', 'phr': 33, 'pcmax': 20, 'rsrq': -12.0, 'sinr': 10.5, 'rsrp': -115, 'rssi': 70.4, 'cqi': 15, 'pucchSnr': 42.0, 'puschSnr': 13.5}"
1689240990742,"{'rnti': '006e', 'dlBytes': 94823205, 'dlMcs': 7, 'dlBler': 0.0, 'ulBytes': 28144886, 'ulMcs': 6, 'ulBler': 0.001519, 'ri': 1, 'pmi': '(0,0)', 'phr': 49, 'pcmax': 22, 'rsrq': -11.0, 'sinr': 9.5, 'rsrp': -115, 'rssi': 68.0, 'cqi': 15, 'pucchSnr': 19.0, 'puschSnr': 10.5}","{'rnti': 'fb80', 'dlBytes': 5840, 'dlMcs': 9, 'dlBler': 0.01853, 'ulBytes': 177240, 'ulMcs': 4, 'ulBler': 0.031728, 'ri': 1, 'pmi': '(0,0)', 'phr': 36, 'pcmax': 20, 'rsrq': -11.5, 'sinr': 14.0, 'rsrp': -112, 'rssi': 76.7, 'cqi': 15, 'pucchSnr': 29.0, 'puschSnr': 19.5}"
